dosya,tvg_id,kanal_adi
yayinzirve.m3u8,BeinSports1.tr,Bein Sports 1 HD (VIP)
yayin1.m3u8,BeinSports1.tr,Bein Sports 1 HD
yayinb2.m3u8,BeinSports2.tr,Bein Sports 2 HD
yayinb3.m3u8,BeinSports3.tr,Bein Sports 3 HD
yayinb4.m3u8,BeinSports4.tr,Bein Sports 4 HD
yayinb5.m3u8,BeinSports5.tr,Bein Sports 5 HD
yayinbm1.m3u8,BeinMax1.tr,Bein Max 1 HD
yayinbm2.m3u8,BeinMax2.tr,Bein Max 2 HD
yayinss.m3u8,SSport1.tr,S Sport 1 HD
yayinss2.m3u8,SSport2.tr,S Sport 2 HD
yayinssp2.m3u8,SSportPlus.tr,S Sport Plus HD
yayint1.m3u8,TivibuSpor1.tr,Tivibu Spor 1 HD
yayint2.m3u8,TivibuSpor2.tr,Tivibu Spor 2 HD
yayint3.m3u8,TivibuSpor3.tr,Tivibu Spor 3 HD
yayinsmarts.m3u8,SmartSpor1.tr,Smart Spor 1 HD
yayinsms2.m3u8,SmartSpor2.tr,Smart Spor 2 HD
yayintrtspor.m3u8,TRTSpor.tr,TRT Spor HD
yayintrtspor2.m3u8,TRTSporYildiz.tr,TRT Spor Yıldız HD
yayinas.m3u8,ASpor.tr,A Spor HD
yayinatv.m3u8,ATV.tr,ATV HD
yayintv8.m3u8,TV8.tr,TV8 HD
yayintv85.m3u8,TV85.tr,TV8.5 HD
yayinnbatv.m3u8,NBATV.tr,NBA TV HD
yayinex1.m3u8,ExxenSpor1.tr,Exxen Spor 1 HD
yayinex2.m3u8,ExxenSpor2.tr,Exxen Spor 2 HD
yayinex3.m3u8,ExxenSpor3.tr,Exxen Spor 3 HD
yayinex4.m3u8,ExxenSpor4.tr,Exxen Spor 4 HD
yayinex5.m3u8,ExxenSpor5.tr,Exxen Spor 5 HD
yayinex6.m3u8,ExxenSpor6.tr,Exxen Spor 6 HD
yayinex7.m3u8,ExxenSpor7.tr,Exxen Spor 7 HD
yayinex8.m3u8,ExxenSpor8.tr,Exxen Spor 8 HD
